**harm,**harte,**timestamp,**phrase,**leadinstrument,**kern,**silbe,**kern_2,**silbe_2,**rhyme,**valence,**arousal,**rms,**kern_3,**silbe_3,**kern_4,**silbe_4,**kern_5,**silbe_5
1I7,D:maj7,14.465,.,voice,2r,.,,,.,39 88 48 60,97 93 79 63,69.348,,,,,,
1ii,E:min,16.406,newline,voice,8e,al-,,,.,39 88 48 60,97 93 88 63,75.651,,,,,,
1ii,E:min,18.319,.,voice,4f#,style,,,.,40 88 48 60,98 93 93 63,76.238,,,,,,
1I7,D:maj7,20.231,.,voice,4d,wi-,,,(B,34 93 48 60,99 93 93 63,74.266,,,,,,
1I7,D:maj7,22.144,.,voice,2r,.,,,.,31 94 49 60,99 93 93 63,66.838,,,,,,
*>Letter>C,*>Letter>C,*>Letter>C,*>Letter>C,*>Letter>C,*>Letter>C,*>Letter>C,,,*>Letter>C,*>Letter>C,*>Letter>C,*>Letter>C,,,,,,
*>Label>Chorus,*>Label>Chorus,*>Label>Chorus,*>Label>Chorus,*>Label>Chorus,*>Label>Chorus,*>Label>Chorus,,,*>Label>Chorus,*>Label>Chorus,*>Label>Chorus,*>Label>Chorus,,,,,,
1ii,E:min,24.056,newline,voice,4e,la-,,,.,31 94 95 60,99 93 93 63,75.918,,,,,,
1V,"A:sus4(b7,9)",26.01,.,voice,8f#,Yo,,,.,31 94 95 60,99 93 93 63,72.716,,,,,,
1I7,D:maj7,27.963,.,voice,4d,la-,,,.,31 94 97 60,99 93 93 63,75.097,,,,,,
1I7,D:maj7,29.917,.,voice,8A,Talk-,,,.,31 100 98 60,99 93 93 63,73.176,,,,,,
1ii,E:min,31.87,newline,voice,4e,la-,,,.,33 100 98 60,99 93 93 63,70.754,,,,,,
1V,"A:sus4(b7,9)",33.824,.,voice,4r,.,,,.,30 100 98 60,99 93 93 63,73.688,,,,,,
1vi,B:min,35.777,.,voice,16d,mine,,,.,28 100 98 60,99 93 93 63,76.189,,,,,,
1vi,B:min,37.731,.,voice,2r,.,,,.,27 100 98 60,99 93 93 63,74.391,,,,,,
*>Letter>B,*>Letter>B,*>Letter>B,*>Letter>B,*>Letter>B,*>Letter>B,*>Letter>B,,,*>Letter>B,*>Letter>B,*>Letter>B,*>Letter>B,,,,,,
*>Label>Verse,*>Label>Verse,*>Label>Verse,*>Label>Verse,*>Label>Verse,*>Label>Verse,*>Label>Verse,,,*>Label>Verse,*>Label>Verse,*>Label>Verse,*>Label>Verse,,,,,,
1ii,E:min,39.685,newline,voice,8e,ne-,,,.,25 100 98 60,99 90 93 63,74.021,,,,,,
1ii,E:min,41.628,.,voice,8f#,some-,,,.,28 95 98 60,99 67 93 63,74.553,,,,,,
1I7,D:maj7,43.571,.,voice,4d,bless-,,,(D,35 100 98 60,99 97 93 63,75.138,,,,,,
1I7,D:maj7,45.514,.,voice,2r,.,,,.,42 101 98 60,99 97 93 63,71.171,,,,,,
1ii,E:min,47.457,newline,voice,8e,leave,,,.,52 100 98 60,99 97 93 63,73.346,,,,,,
1ii,E:min,49.403,.,voice,8f#,she's,,,.,60 112 101 60,99 97 93 63,75.828,,,,,,
1I7,D:maj7,51.349,.,voice,4d,mess-,,,(D,65 103 90 60,97 97 93 63,77.003,,,,,,
1I7,D:maj7,53.295,.,voice,2r,.,,,.,67 101 90 60,97 97 93 63,74.56,,,,,,
*>Letter>C,*>Letter>C,*>Letter>C,*>Letter>C,*>Letter>C,*>Letter>C,*>Letter>C,,,*>Letter>C,*>Letter>C,*>Letter>C,*>Letter>C,,,,,,
*>Label>Chorus,*>Label>Chorus,*>Label>Chorus,*>Label>Chorus,*>Label>Chorus,*>Label>Chorus,*>Label>Chorus,,,*>Label>Chorus,*>Label>Chorus,*>Label>Chorus,*>Label>Chorus,,,,,,
1ii,E:min,55.241,newline,voice,4e,la-,,,.,67 100 90 60,97 97 93 63,72.963,,,,,,
1V,"A:sus4(b7,9)",57.205,.,voice,8f#,Yo,,,.,67 108 124 60,97 97 93 63,76.323,,,,,,
1I7,D:maj7,59.17,.,voice,4d,la-,,,.,68 108 91 60,97 97 93 63,76.3,,,,,,
