**harm,**harte,**harm_2,**harte_2,**kern,**silbe,**stress,**timestamp,**duration
I,D-:maj,I,D-:maj,d-,-ing,0,82.325,1
*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,1
IV,G-:maj,IV,G-:maj,f,the,0,115.728,1
I,D-:maj,I,D-:maj,f,a,0,120.479,1
*>Chorus,*>Chorus,*>Chorus,*>Chorus,*>Chorus,*>Chorus,*>Chorus,*>Chorus,1
I,D-:maj,I,D-:maj,d-,-ing,0,130.017,1
I,D-:maj,I,D-:maj,d-,-ing,0,139.581,1
*>Instrumental,*>Instrumental,*>Instrumental,*>Instrumental,*>Instrumental,*>Instrumental,*>Instrumental,*>Instrumental,1
*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,1
IV,G-:maj,IV,G-:maj,f,-to,0,177.748,1
I,D-:maj,I,D-:maj,a-,-eve,1,201.607,1
*>Chorus,*>Chorus,*>Chorus,*>Chorus,*>Chorus,*>Chorus,*>Chorus,*>Chorus,1
I,D-:maj,I,D-:maj,d-,-ing,0,211.156,1
I,D-:maj,I,D-:maj,d-,-ing,0,220.679,1
IV,G-:maj,IV,G-:maj,d-,_,.,227.848,1
I,D-:maj,I,D-:maj,d-,-ing,0,230.222,1
IV,G-:maj,IV,G-:maj,d-,_,.,237.369,1
I,D-:maj,I,D-:maj,d-,-ing,0,239.760,1
*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,1
*>Intro,*>Intro,*>Intro,*>Intro,*>Intro,*>Intro,*>Intro,*>Intro,1
*>St,*>St,*>St,*>St,*>St,*>St,*>St,*>St,1
I,A:maj,.,.,e,hey,1,27.509,1
*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,*>Verse,1
I,A:maj,I,A:maj,e,goi-,1,35.670,1
I,A:maj,I,A:maj,e,kids,1,38.334,1
V,E:maj,V,E:maj,e,blitz-,1,.,1
I,A:maj,I,A:maj,c#,bop,1,41.020,1
