**harm,**harte,**timestamp,**phrase,**leadinstrument,**kern,**silbe,**kern_2,**silbe_2,**duration,**rhyme,**valence,**arousal,**rms,**kern_3,**silbe_3,**kern_4,**silbe_4,**kern_5,**silbe_5,**harm_2,**harte_2,**stress
*>Letter>B,*>Letter>B,*>Letter>B,*>Letter>B,*>Letter>B,*>Letter>B,*>Letter>B,,,1.0,*>Letter>B,*>Letter>B,*>Letter>B,*>Letter>B,,,,,,,,,
*>Label>Verse,*>Label>Verse,*>Label>Verse,*>Label>Verse,*>Label>Verse,*>Label>Verse,*>Label>Verse,,,1.0,*>Label>Verse,*>Label>Verse,*>Label>Verse,*>Label>Verse,,,,,,,,,
1I,G:maj,3,newline,voice,b,can't,,,4.0,.,62 63 60 63,62 58 60 60,66.376,,,,,,,,,
1I,G:maj,4.355,.,voice,d,buff-,,,8.0,.,71 63 60 63,61 58 60 0,70.505,,,,,,,,,
1V7,D:7,5.709,.,voice,d,can't,,,4.0,.,77 63 60 63,61 63 60 0,63.863,,,,,,,,,
1V7,D:7,7.064,.,voice,a,buff-,,,8.0,.,77 63 60 63,69 81 60 6,68.022,,,,,,,,,
1I,G:maj,8.419,newline,voice,b,can't,,,4.0,.,77 63 60 63,70 85 60 8,65.197,,,,,,,,,
1I,G:maj,9.783,.,voice,d,buff-,,,8.0,.,77 79 60 63,68 85 60 8,69.534,,,,,,,,,
1V7,D:7,11.148,.,voice,d,you,,,8.0,.,77 81 60 63,63 88 60 11,66.571,,,,,,,,,
1I,N,12.512,.,voice,d,_,,,8.0,.,77 85 60 63,62 92 60 11,68.023,,,,,,,,,
1I,G:maj,13.877,newline,voice,b,can't,,,4.0,.,77 85 60 63,61 92 60 0,67.472,,,,,,,,,
1I,G:maj,15.185,.,voice,d,_,,,8.0,.,77 87 60 63,50 77 60 0,66.099,,,,,,,,,
1V7,D:7,16.493,.,voice,d,can't,,,4.0,.,77 87 60 63,67 90 60 21,62.658,,,,,,,,,
1V7,D:7,17.801,.,voice,a,par-,,,8.0,.,77 90 60 63,70 93 60 23,70.927,,,,,,,,,
1I,G:maj,19.109,newline,voice,b,can't,,,4.0,.,77 91 60 63,71 93 60 23,67.543,,,,,,,,,
1I,G:maj,20.471,.,voice,e,par-,,,8.0,.,77 94 60 63,72 93 60 23,69.204,,,,,,,,,
1V7,D:7,21.833,.,voice,d,you,,,8.0,.,77 95 60 63,73 93 60 23,68.254,,,,,,,,,
1I,N,23.195,.,voice,f#,_,,,8.0,.,77 95 60 63,72 93 60 23,70.076,,,,,,,,,
*>Letter>C,*>Letter>C,*>Letter>C,*>Letter>C,*>Letter>C,*>Letter>C,*>Letter>C,,,1.0,*>Letter>C,*>Letter>C,*>Letter>C,*>Letter>C,,,,,,,,,
*>Label>Chorus,*>Label>Chorus,*>Label>Chorus,*>Label>Chorus,*>Label>Chorus,*>Label>Chorus,*>Label>Chorus,,,1.0,*>Label>Chorus,*>Label>Chorus,*>Label>Chorus,*>Label>Chorus,,,,,,,,,
1IV,C:maj,24.557,newline,voice,g,_,,,8.0,.,77 94 60 63,53 82 60 0,80.109,,,,,,,,,
1I,G:maj,25.884,.,voice,g,put,,,8.0,.,77 93 60 63,51 77 60 0,69.805,,,,,,,,,
