**harm,**harte,**timestamp,**phrase,**leadinstrument,**kern,**silbe,**kern_2,**silbe_2,**duration,**rhyme,**valence,**arousal,**rms,**kern_3,**silbe_3,**kern_4,**silbe_4,**kern_5,**silbe_5,**harm_2,**harte_2,**stress
1IVc,B:maj/5,240.042,.,voice,r,.,8r,.,1.0,.,,,,1r,.,,,,,,,
1i,F#:5,241.792,.,voice,r,.,8a,co-,4.0,.,,,,1r,.,,,,,,,
2I,F#:maj,243.541,.,voice,r,.,1r,.,8.0,.,,,,1r,.,,,,,,,
4-III,A:maj,244.416,.,voice,f#,com-,.,.,8.0,.,,,,.,.,,,,,,,
4iv,B:5,244.853,.,voice,f#,now,.,.,4.0,.,,,,.,.,,,,,,,
1i,F#:sus4(b7),245.291,newline,voice,r,.,1r,.,4.0,.,,,,1r,.,,,,,,,
1IVc,B:maj/5,247.02,.,voice,r,.,8r,.,4.0,.,,,,1r,.,,,,,,,
1i,F#:5,248.749,.,voice,r,.,8a,co-,4.0,.,,,,1r,.,,,,,,,
4iv,B:5,251.776,.,voice,f#,_,.,.,4.0,.,,,,.,.,,,,,,,
1i,F#:sus4(b7),252.208,newline,voice,r,.,1r,.,1.0,.,,,,2.e,Oh,,,,,,,
1IVc,B:maj/5,253.947,.,voice,r,.,8r,.,1.0,.,,,,1d#],_,,,,,,,
1i,F#:5,255.687,.,voice,r,.,8a,co-,1.0,.,,,,4c#,come,,,,,,,
2I,F#:maj,257.426,.,voice,r,.,1r,.,1.0,.,,,,1r,.,,,,,,,
1i,F#:sus4(b7),259.166,newline,voice,r,.,1r,.,1.0,.,,,,2.e,Oh,,,,,,,
1IVc,B:maj/5,260.898,.,voice,r,.,8r,.,1.0,.,,,,1d#],_,,,,,,,
1i,F#:5,262.63,.,voice,r,.,8a,co-,1.0,.,,,,4c#,come,,,,,,,
2I,F#:maj,264.363,.,voice,r,.,1r,.,1.0,.,,,,1r,.,,,,,,,
1i,F#:sus4(b7),266.095,newline,voice,r,.,1r,.,8.0,.,,,,2.e,Oh,,,,,,,
1IVc,B:maj/5,267.826,.,voice,f#,_,8r,.,8.0,.,,,,1d#],_,,,,,,,
1i,F#:5,269.556,.,voice,r,.,8a,co-,4.0,.,,,,4c#,come,,,,,,,
2I,F#:maj,271.286,.,voice,r,.,1r,.,8.0,.,,,,1r,.,,,,,,,
4-III,A:maj,272.152,.,voice,f#,com-,.,.,8.0,.,,,,.,.,,,,,,,
4iv,B:5,272.584,.,voice,f#,to,.,.,8.0,.,,,,.,.,,,,,,,
1i,F#:sus4(b7),273.017,newline,voice,r,.,1r,.,4.0,.,,,,2.e,Oh,,,,,,,
1IVc,B:maj/5,274.747,.,voice,r,.,8r,.,4.0,.,,,,1d#],_,,,,,,,
1i,F#:5,276.476,.,voice,r,.,8a,co-,4.0,.,,,,1r,.,,,,,,,
2I,F#:maj,278.206,.,voice,r,.,1r,.,8.0,.,,,,1r,.,,,,,,,
4-III,A:maj,279.071,.,voice,a,_,.,.,4.0,.,,,,.,.,,,,,,,
4iv,B:5,279.504,.,voice,f#,??,.,.,8.0,.,,,,.,.,,,,,,,
*>Label>>Fadeout,*>Label>>Fadeout,*>Label>>Fadeout,*>Label>>Fadeout,*>Label>>Fadeout,*>Label>>Fadeout,*>Label>>Fadeout,*>Label>>Fadeout,*>Label>>Fadeout,1.0,*>Label>>Fadeout,,,,*>Label>>Fadeout,*>Label>>Fadeout,,,,,,,
1i,F#:sus4(b7),279.936,newline,voice,a,_?,1r,.,8.0,.,,,,2.e,Oh,,,,,,,
1IVc,B:maj/5,281.672,.,voice,f#,_,8r,.,8.0,.,,,,1d#],_,,,,,,,
1i,F#:5,283.408,.,voice,f#,com-,8a,co-,8.0,.,,,,4c#,come,,,,,,,
2I,F#:maj,285.144,.,voice,r,.,1r,.,8.0,.,,,,1r,.,,,,,,,
4-III,A:maj,286.012,.,voice,f#,you,.,.,4.0,.,,,,.,.,,,,,,,
4iv,B:5,286.446,.,voice,r,.,.,.,4.0,.,,,,.,.,,,,,,,
1i,F#:sus4(b7),286.88,newline,voice,r,.,1r,.,8.0,.,,,,2.e,Oh,,,,,,,
1IVc,B:maj/5,288.598,.,voice,r,.,8r,.,1.0,.,,,,1d#],_,,,,,,,
1i,F#:5,290.316,.,voice,r,.,8a,co-,1.0,.,,,,4c#,come,,,,,,,
2I,F#:maj,292.033,.,voice,r,.,1r,.,1.0,.,,,,1r,.,,,,,,,
1i,F#:sus4(b7),293.751,newline,voice,r,.,1r,.,1.0,.,,,,2.e,Oh,,,,,,,
1IVc,B:maj/5,295.477,.,voice,r,.,8r,.,1.0,.,,,,1d#],_,,,,,,,
1i,F#:5,297.204,.,voice,r,.,8a,co-,1.0,.,,,,4c#,come,,,,,,,
2I,F#:maj,298.93,.,voice,r,.,1r,.,1.0,.,,,,1r,.,,,,,,,
1i,F#:sus4(b7),300.657,newline,voice,r,.,1r,.,1.0,.,,,,2.e,Oh,,,,,,,
1IVc,B:maj/5,301.644,.,voice,r,.,8r,.,1.0,.,,,,1d#],_,,,,,,,
1i,F#:5,302.63,.,voice,r,.,8a,co-,1.0,.,,,,4c#,come,,,,,,,
2I,F#:maj,303.617,.,voice,r,.,1r,.,1.0,.,,,,1r,.,,,,,,,
1r;,N,304.604,.,r,r,.,r;,.,1.0,.,,,,r;,.,,,,,,,
1r;,N,310.753,.,r,r,.,r;,.,1.0,.,,,,r;,.,,,,,,,
1r;,N,0,.,r,r,.,,,1.0,.,,,,,,,,,,,,
*>Letter>A,*>Letter>A,*>Letter>A,*>Letter>A,*>Letter>A,*>Letter>A,*>Letter>A,,,1.0,*>Letter>A,,,,,,,,,,,,
*>Label>Intro,*>Label>Intro,*>Label>Intro,*>Label>Intro,*>Label>Intro,*>Label>Intro,*>Label>Intro,,,1.0,*>Label>Intro,,,,,,,,,,,,
1I,D:maj,0.395,newline,guitar,r,.,,,1.0,.,,,,,,,,,,,,
1I,D:maj,1.887,.,guitar,r,.,,,1.0,.,,,,,,,,,,,,
1I,D:maj,3.379,.,guitar,r,.,,,1.0,.,,,,,,,,,,,,
1I,D:maj,4.871,.,guitar,r,.,,,1.0,.,,,,,,,,,,,,
1VI,B:maj,6.363,newline,guitar,r,.,,,1.0,.,,,,,,,,,,,,
1VI,B:maj,7.849,.,guitar,r,.,,,1.0,.,,,,,,,,,,,,
1VI,B:maj,9.335,.,guitar,r,.,,,1.0,.,,,,,,,,,,,,
1VI,B:maj,10.822,.,guitar,r,.,,,1.0,.,,,,,,,,,,,,
1I,D:maj,12.308,newline,guitar,r,.,,,1.0,.,,,,,,,,,,,,
1I,D:maj,13.766,.,guitar,r,.,,,1.0,.,,,,,,,,,,,,
1I,D:maj,15.224,.,guitar,r,.,,,1.0,.,,,,,,,,,,,,
1I,D:maj,16.683,.,guitar,r,.,,,1.0,.,,,,,,,,,,,,
1VI,B:maj,18.141,newline,guitar,r,.,,,1.0,.,,,,,,,,,,,,
1VI,B:maj,19.6,.,guitar,r,.,,,1.0,.,,,,,,,,,,,,
1VI,B:maj,21.058,.,guitar,r,.,,,1.0,.,,,,,,,,,,,,
1VI,B:maj,22.516,.,guitar,r,.,,,1.0,.,,,,,,,,,,,,
*>Letter>A,*>Letter>A,*>Letter>A,*>Letter>A,*>Letter>A,*>Letter>A,*>Letter>A,,,1.0,*>Letter>A,,,,,,,,,,,,
*>Label>Verse,*>Label>Verse,*>Label>Verse,*>Label>Verse,*>Label>Verse,*>Label>Verse,*>Label>Verse,,,1.0,*>Label>Verse,,,,,,,,,,,,
1I,D:maj,23.974,newline,voice,d,One,,,4.0,.,,,,,,,,,,,,
1I,D:maj,25.437,.,voice,d,-not-,,,4.0,.,,,,,,,,,,,,
1I,D:maj,26.9,.,voice,d,find,,,4.0,.,,,,,,,,,,,,
1I,D:maj,28.363,.,voice,d,get-,,,8.0,.,,,,,,,,,,,,
1VI,B:maj,29.825,newline,voice,B,One,,,4.0,.,,,,,,,,,,,,
1VI,B:maj,31.322,.,voice,B,-not-,,,4.0,.,,,,,,,,,,,,
1VI,B:maj,32.819,.,voice,B,win,,,4.0,.,,,,,,,,,,,,
1VI,B:maj,34.315,.,voice,d,get-,,,8.0,.,,,,,,,,,,,,
1I,D:maj,35.812,newline,voice,d,One,,,4.0,.,,,,,,,,,,,,
1I,D:maj,37.269,.,voice,d,-no-,,,4.0,.,,,,,,,,,,,,
1I,D:maj,38.726,.,voice,d,see,,,4.0,.,,,,,,,,,,,,
1I,D:maj,40.183,.,voice,f#,meet-,,,8.0,.,,,,,,,,,,,,
1VI,B:maj,41.639,newline,voice,B,One,,,4.0,.,,,,,,,,,,,,
1VI,B:maj,43.15,.,voice,d,next,,,4.0,.,,,,,,,,,,,,
1VI,B:maj,44.662,.,voice,d,meet,,,4.0,.,,,,,,,,,,,,
1VI,B:maj,46.173,.,voice,d,meet,,,8.0,.,,,,,,,,,,,,
*>Letter>B,*>Letter>B,*>Letter>B,*>Letter>B,*>Letter>B,*>Letter>B,*>Letter>B,,,1.0,*>Letter>B,,,,,,,,,,,,
*>Label>Chorus,*>Label>Chorus,*>Label>Chorus,*>Label>Chorus,*>Label>Chorus,*>Label>Chorus,*>Label>Chorus,,,1.0,*>Label>Chorus,,,,,,,,,,,,
1IV,G:maj,47.684,newline,voice,G,I,,,1.0,.,,,,,,,,,,,,
1vi,B:min,49.196,.,voice,B,will,,,1.0,.,,,,,,,,,,,,
1IV,G:maj,53.734,newline,voice,G,And,,,1.0,.,,,,,,,,,,,,
1vi,B:min,55.24,.,voice,B,if,,,2.0,.,,,,,,,,,,,,
1iii,F#:min,58.253,.,voice,F#,down:,,,2.0,A,,,,,,,,,,,,
4vi,B:min,60.879,.,voice,B,a-,,,4.0,.,,,,,,,,,,,,
1ii,E:min,61.252,.,voice,E,-round.,,,1.0,A,,,,,,,,,,,,
1III,F#:maj,62.745,.,voice,F#,_,,,1.0,.,,,,,,,,,,,,
1III,F#:maj,64.238,.,voice,r,.,,,1.0,.,,,,,,,,,,,,
*>Letter>A,*>Letter>A,*>Letter>A,*>Letter>A,*>Letter>A,*>Letter>A,*>Letter>A,,,1.0,*>Letter>A,,,,,,,,,,,,
*>Label>Verse,*>Label>Verse,*>Label>Verse,*>Label>Verse,*>Label>Verse,*>Label>Verse,*>Label>Verse,,,1.0,*>Label>Verse,,,,,,,,,,,,
1I,D:maj,65.731,newline,voice,d,One,,,4.0,.,,,,,,,,,,,,
1I,D:maj,67.226,.,voice,d,-not-,,,4.0,.,,,,,,,,,,,,
1I,D:maj,68.722,.,voice,d,find,,,4.0,.,,,,,,,,,,,,
1I,D:maj,70.217,.,voice,f#,get-,,,8.0,.,,,,,,,,,,,,
1VI,B:maj,71.713,newline,voice,B,One,,,4.0,.,,,,,,,,,,,,
1VI,B:maj,73.202,.,voice,B,-not-,,,4.0,.,,,,,,,,,,,,
1VI,B:maj,74.691,.,voice,d,win,,,4.0,.,,,,,,,,,,,,
1VI,B:maj,76.181,.,voice,f#,get-,,,8.0,.,,,,,,,,,,,,
1I,D:maj,77.67,newline,voice,d,One,,,4.0,.,,,,,,,,,,,,
1I,D:maj,79.158,.,voice,d,-noth-,,,4.0,.,,,,,,,,,,,,
1I,D:maj,80.647,.,voice,d,see,,,4.0,.,,,,,,,,,,,,
1I,D:maj,82.135,.,voice,f#,meet-,,,8.0,.,,,,,,,,,,,,
1VI,B:maj,83.624,newline,voice,B,One,,,4.0,.,,,,,,,,,,,,
1VI,B:maj,85.117,.,voice,e,next,,,8.0,.,,,,,,,,,,,,
1VI,B:maj,86.611,.,voice,e,meet,,,4.0,.,,,,,,,,,,,,
1VI,B:maj,88.104,.,voice,e,meet,,,8.0,.,,,,,,,,,,,,
*>Letter>B,*>Letter>B,*>Letter>B,*>Letter>B,*>Letter>B,*>Letter>B,*>Letter>B,,,1.0,*>Letter>B,,,,,,,,,,,,
*>Label>Chorus,*>Label>Chorus,*>Label>Chorus,*>Label>Chorus,*>Label>Chorus,*>Label>Chorus,*>Label>Chorus,,,1.0,*>Label>Chorus,,,,,,,,,,,,
1IV,G:maj,89.597,newline,voice,G,And,,,1.0,.,,,,,,,,,,,,
1vi,B:min,91.1,.,voice,B,if,,,2.0,.,,,,,,,,,,,,
1IV,G:maj,95.606,newline,voice,G,I'll,,,1.0,.,,,,,,,,,,,,
1iii,F#:min,100.117,.,voice,A,_,,,8.0,.,,,,,,,,,,,,
4vi,B:min,102.721,.,voice,B,-ging,,,4.0,.,,,,,,,,,,,,
1ii,E:min,103.088,.,voice,E,out,,,1.0,A,,,,,,,,,,,,
1III,F#:maj,104.554,.,voice,F#,_,,,1.0,.,,,,,,,,,,,,
1III,F#:maj,106.021,.,voice,r,.,,,1.0,.,,,,,,,,,,,,
1III,F#:maj,107.488,newline,drums,r,.,,,1.0,.,,,,,,,,,,,,
1III,F#:maj,108.896,.,drums,r,.,,,1.0,.,,,,,,,,,,,,
*>Letter>C,*>Letter>C,*>Letter>C,*>Letter>C,*>Letter>C,*>Letter>C,*>Letter>C,,,1.0,*>Letter>C,,,,,,,,,,,,
*>Label>Solo,*>Label>Solo,*>Label>Solo,*>Label>Solo,*>Label>Solo,*>Label>Solo,*>Label>Solo,,,1.0,*>Label>Solo,,,,,,,,,,,,
1III,F#:maj,110.304,newline,guitar,r,.,,,1.0,.,,,,,,,,,,,,
1III,F#:maj,111.763,.,guitar,r,.,,,1.0,.,,,,,,,,,,,,
1V,A:maj,113.222,.,guitar,r,.,,,1.0,.,,,,,,,,,,,,
1vii,C#:min,114.681,.,guitar,r,.,,,1.0,.,,,,,,,,,,,,
1III,F#:maj,116.14,newline,guitar,r,.,,,1.0,.,,,,,,,,,,,,
1III,F#:maj,117.578,.,guitar,r,.,,,1.0,.,,,,,,,,,,,,
1V,A:maj,119.016,.,guitar,r,.,,,1.0,.,,,,,,,,,,,,
1vii,C#:min,120.454,.,guitar,r,.,,,1.0,.,,,,,,,,,,,,
1VI,B:maj,121.892,newline,guitar,r,.,,,1.0,.,,,,,,,,,,,,
1II,E:maj,123.381,.,guitar,r,.,,,1.0,.,,,,,,,,,,,,
1III,F#:maj,124.871,.,guitar,r,.,,,1.0,.,,,,,,,,,,,,
1III,F#:maj,126.361,.,guitar,r,.,,,1.0,.,,,,,,,,,,,,
1V,A:maj,127.851,newline,guitar,r,.,,,1.0,.,,,,,,,,,,,,
1V,A:maj,129.316,.,guitar,r,.,,,1.0,.,,,,,,,,,,,,
1VI,B:maj,130.78,.,guitar,r,.,,,1.0,.,,,,,,,,,,,,
1VI,B:maj,132.245,.,guitar,r,.,,,1.0,.,,,,,,,,,,,,
*>Letter>A,*>Letter>A,*>Letter>A,*>Letter>A,*>Letter>A,*>Letter>A,*>Letter>A,,,1.0,*>Letter>A,,,,,,,,,,,,
*>Label>Verse,*>Label>Verse,*>Label>Verse,*>Label>Verse,*>Label>Verse,*>Label>Verse,*>Label>Verse,,,1.0,*>Label>Verse,,,,,,,,,,,,
1I,D:maj,133.71,newline,voice,f#,One,,,4.0,.,,,,,,,,,,,,
1I,D:maj,135.205,.,voice,f#,-not-,,,4.0,.,,,,,,,,,,,,
1I,D:maj,136.699,.,voice,f#,lo-,,,4.0,.,,,,,,,,,,,,
1I,D:maj,138.193,.,voice,f#,give,,,8.0,.,,,,,,,,,,,,
1VI,B:maj,139.688,newline,voice,f#,Slip,,,8.0,B,,,,,,,,,,,,
1VI,B:maj,141.171,.,voice,B,-not-,,,4.0,.,,,,,,,,,,,,
1VI,B:maj,142.655,.,voice,d,lose,,,4.0,.,,,,,,,,,,,,
1VI,B:maj,144.138,.,voice,a,trick,,,8.0,.,,,,,,,,,,,,
1I,D:maj,145.621,newline,voice,d,One,,,4.0,.,,,,,,,,,,,,
1I,D:maj,147.1,.,voice,d,-not-,,,4.0,.,,,,,,,,,,,,
1I,D:maj,148.579,.,voice,f#,lose,,,4.0,.,,,,,,,,,,,,
1I,D:maj,150.058,.,voice,f#,trick,,,8.0,.,,,,,,,,,,,,
1VI,B:maj,151.537,newline,voice,f#,One,,,4.0,.,,,,,,,,,,,,
1VI,B:maj,153.014,.,voice,f#,-noth-,,,4.0,.,,,,,,,,,,,,
1VI,B:maj,154.492,.,voice,f#,lose,,,4.0,.,,,,,,,,,,,,
1VI,B:maj,155.97,.,voice,f#,give,,,8.0,.,,,,,,,,,,,,
*>Letter>A2,*>Letter>A2,*>Letter>A2,*>Letter>A2,*>Letter>A2,*>Letter>A2,*>Letter>A2,,,1.0,*>Letter>A2,,,,,,,,,,,,
*>Label>Outro,*>Label>Outro,*>Label>Outro,*>Label>Outro,*>Label>Outro,*>Label>Outro,*>Label>Outro,,,1.0,*>Label>Outro,,,,,,,,,,,,
1I,D:maj,157.448,newline,synthesizer,r,.,,,1.0,.,,,,,,,,,,,,
1I,D:maj,158.918,.,synthesizer,r,.,,,1.0,.,,,,,,,,,,,,
1VI,B:maj,160.388,.,synthesizer,r,.,,,1.0,.,,,,,,,,,,,,
1VI,B:maj,161.858,.,synthesizer,r,.,,,1.0,.,,,,,,,,,,,,
1I,D:maj,163.328,newline,voice,d,I'll,,,4.0,.,,,,,,,,,,,,
1I,D:maj,164.814,.,voice,d,Stand,,,4.0,.,,,,,,,,,,,,
1VI,B:maj,166.299,.,voice,B,where,,,4.0,.,,,,,,,,,,,,
1VI,B:maj,167.784,.,voice,B,Find,,,4.0,.,,,,,,,,,,,,
1I,D:maj,169.27,newline,voice,d,Lead,,,4.0,.,,,,,,,,,,,,
1I,D:maj,170.747,.,voice,r,.,,,8.0,.,,,,,,,,,,,,
1VI,B:maj,172.223,.,voice,B,spe-,,,8.0,.,,,,,,,,,,,,
1VI,B:maj,173.7,.,voice,B,get,,,4.0,.,,,,,,,,,,,,
1I,D:maj,175.177,newline,voice,f#,One,,,4.0,.,,,,,,,,,,,,
1I,D:maj,176.669,.,voice,f#,-not-,,,4.0,.,,,,,,,,,,,,
1VI,B:maj,178.161,.,voice,f#,get-,,,8.0,.,,,,,,,,,,,,
1VI,B:maj,179.653,.,voice,f#,get-,,,8.0,.,,,,,,,,,,,,
1I,D:maj,181.146,newline,voice,f#,One,,,4.0,.,,,,,,,,,,,,
1I,D:maj,182.617,.,voice,f#,-not-,,,4.0,.,,,,,,,,,,,,
1VI,B:maj,184.088,.,voice,f#,get-,,,8.0,.,,,,,,,,,,,,
1VI,B:maj,185.56,.,voice,f#,get-,,,8.0,.,,,,,,,,,,,,
1I,D:maj,187.031,newline,voice,f#,One,,,4.0,.,,,,,,,,,,,,
1I,D:maj,188.487,.,voice,f#,-not-,,,4.0,.,,,,,,,,,,,,
1VI,B:maj,189.943,.,voice,f#,get-,,,8.0,.,,,,,,,,,,,,
1VI,B:maj,191.399,.,voice,f#,get-,,,8.0,.,,,,,,,,,,,,
*>Label>>Fadeout,*>Label>>Fadeout,*>Label>>Fadeout,*>Label>>Fadeout,*>Label>>Fadeout,*>Label>>Fadeout,*>Label>>Fadeout,,,1.0,*>Label>>Fadeout,,,,,,,,,,,,
1I,D:maj,192.855,newline,voice,f#,One,,,4.0,.,,,,,,,,,,,,
1I,D:maj,194.305,.,voice,f#,-not-,,,4.0,.,,,,,,,,,,,,
1VI,B:maj,195.756,.,voice,f#,get-,,,8.0,.,,,,,,,,,,,,
1VI,B:maj,197.207,.,voice,f#,get-,,,8.0,.,,,,,,,,,,,,
1I,D:maj,198.657,newline,voice,f#,One,,,4.0,.,,,,,,,,,,,,
1I,D:maj,199.951,.,voice,f#,-not-,,,4.0,.,,,,,,,,,,,,
1VI,B:maj,201.244,.,voice,f#,get-,,,8.0,.,,,,,,,,,,,,
1VI,B:maj,202.538,.,voice,f#,get-,,,8.0,.,,,,,,,,,,,,
1I,D:maj,203.831,.,voice,f#,One,,,4.0,.,,,,,,,,,,,,
1r;,N,205.125,.,r,r,.,,,1.0,.,,,,,,,,,,,,
1r;,N,208.091,.,r,r,.,,,1.0,.,,,,,,,,,,,,
1r;,N,0,.,r,r,.,r;,.,1.0,.,,,,r;,.,,,,,,,
*>Letter>C,*>Letter>C,*>Letter>C,*>Letter>C,*>Letter>C,*>Letter>C,*>Letter>C,*>Letter>C,*>Letter>C,1.0,*>Letter>C,,,,*>Letter>C,*>Letter>C,,,,,,,
*>Label>Intro,*>Label>Intro,*>Label>Intro,*>Label>Intro,*>Label>Intro,*>Label>Intro,*>Label>Intro,*>Label>Intro,*>Label>Intro,1.0,*>Label>Intro,,,,*>Label>Intro,*>Label>Intro,,,,,,,
1r,N,0.418,newline,drums,r,.,1r,.,1.0,.,,,,1r,.,,,,,,,
1r,N,1.869,.,drums,r,.,1r,.,1.0,.,,,,1r,.,,,,,,,
1i,C#:5(b13),3.32,newline,synthesizer,r,.,1r,.,1.0,.,,,,1r,.,,,,,,,
1i,C#:5(b13),5.267,.,synthesizer,r,.,2r,.,1.0,.,,,,1r,.,,,,,,,
1i,C#:5(b13),7.213,.,synthesizer,r,.,1r,.,1.0,.,,,,1r,.,,,,,,,
1i,C#:5(b13),9.16,.,synthesizer,r,.,4r,.,1.0,.,,,,1r,.,,,,,,,
1i,C#:5(b13),11.106,newline,synthesizer,r,.,2r,.,1.0,.,,,,1r,.,,,,,,,
1i,C#:5(b13),13.046,.,synthesizer,r,.,8A,me?,1.0,.,,,,1r,.,,,,,,,
1i,C#:5(b13),14.986,.,synthesizer,r,.,1r,.,1.0,.,,,,1r,.,,,,,,,
1i,C#:5(b13),16.926,.,synthesizer,r,.,1r,.,1.0,.,,,,1r,.,,,,,,,
1i,C#:min,18.866,newline,synthesizer,r,.,1r,.,1.0,.,,,,1r,.,,,,,,,
2-VI7,A:maj7,20.789,.,synthesizer,r,.,1r,.,1.0,.,,,,1r,.,,,,,,,
1i,C#:min,22.713,.,synthesizer,r,.,1r,.,1.0,.,,,,1r,.,,,,,,,
2-VI,A:maj,24.637,.,synthesizer,r,.,1r,.,1.0,.,,,,1r,.,,,,,,,
1i,C#:min,26.56,newline,synthesizer,r,.,1r,.,1.0,.,,,,1r,.,,,,,,,
2-VI7,A:maj7,28.497,.,synthesizer,r,.,1r,.,1.0,.,,,,1r,.,,,,,,,
1i,C#:min,30.434,.,synthesizer,r,.,1r,.,1.0,.,,,,1r,.,,,,,,,
2-VI,A:maj,32.371,.,synthesizer,r,.,1r,.,1.0,.,,,,1r,.,,,,,,,
*>Letter>A,*>Letter>A,*>Letter>A,*>Letter>A,*>Letter>A,*>Letter>A,*>Letter>A,*>Letter>A,*>Letter>A,1.0,*>Letter>A,,,,*>Letter>A,*>Letter>A,,,,,,,
*>Label>Verse,*>Label>Verse,*>Label>Verse,*>Label>Verse,*>Label>Verse,*>Label>Verse,*>Label>Verse,*>Label>Verse,*>Label>Verse,1.0,*>Label>Verse,,,,*>Label>Verse,*>Label>Verse,,,,,,,
1i,C#:min,34.308,newline,voice,r,.,1r,.,8.0,.,,,,1r,.,,,,,,,
1-VI,A:maj,36.234,.,voice,r,.,1r,.,4.0,.,,,,1r,.,,,,,,,
1i,C#:min,38.159,.,voice,r,.,1r,.,8.0,.,,,,1r,.,,,,,,,
2-VI,A:maj,40.084,.,voice,r,.,1r,.,8.0,.,,,,1r,.,,,,,,,
2-VII,B:maj,41.047,.,voice,B,pay,.,.,8.0,.,,,,.,.,,,,,,,
1i,C#:min,42.009,newline,voice,r,.,1r,.,8.0,.,,,,1r,.,,,,,,,
1-VI,A:maj,43.954,.,voice,r,.,1r,.,4.0,.,,,,1r,.,,,,,,,
1i,C#:min,45.899,.,voice,r,.,1r,.,8.0,.,,,,1r,.,,,,,,,
2-VI,A:maj,47.844,.,voice,r,.,1r,.,8.0,.,,,,1r,.,,,,,,,
2-VII,B:maj,48.816,.,voice,a,Twi-,.,.,8.0,.,,,,.,.,,,,,,,
*>Letter>B,*>Letter>B,*>Letter>B,*>Letter>B,*>Letter>B,*>Letter>B,*>Letter>B,*>Letter>B,*>Letter>B,1.0,*>Letter>B,,,,*>Letter>B,*>Letter>B,,,,,,,
*>Label>Chorus,*>Label>Chorus,*>Label>Chorus,*>Label>Chorus,*>Label>Chorus,*>Label>Chorus,*>Label>Chorus,*>Label>Chorus,*>Label>Chorus,1.0,*>Label>Chorus,,,,*>Label>Chorus,*>Label>Chorus,,,,,,,
1i,C#:min,49.789,newline,voice,r,.,1r,.,8.0,.,,,,1r,.,,,,,,,
2-VI,A:maj,51.724,.,voice,r,.,1r,.,8.0,.,,,,1r,.,,,,,,,
2-VII,B:maj,52.692,.,voice,b,wa-,.,.,4.0,.,,,,.,.,,,,,,,
2-VI,A:maj,55.595,.,voice,f#,pri-,1r,.,8.0,.,,,,1r,.,,,,,,,
2-VII,B:maj,56.563,.,voice,r,.,.,.,8.0,.,,,,.,.,,,,,,,
1i,C#:min,57.531,newline,voice,r,.,1r,.,8.0,.,,,,1r,.,,,,,,,
2-VI,A:maj,59.452,.,voice,r,.,1r,.,8.0,.,,,,1r,.,,,,,,,
2-VII,B:maj,60.412,.,voice,b,wa-,.,.,4.0,.,,,,.,.,,,,,,,
2-VI,A:maj,63.294,.,voice,f#,just,1r,.,8.0,.,,,,1r,.,,,,,,,
2-VII,B:maj,64.254,.,voice,r,.,.,.,2.0,.,,,,.,.,,,,,,,
*>Letter>A,*>Letter>A,*>Letter>A,*>Letter>A,*>Letter>A,*>Letter>A,*>Letter>A,*>Letter>A,*>Letter>A,1.0,*>Letter>A,,,,*>Letter>A,*>Letter>A,,,,,,,
*>Label>Verse,*>Label>Verse,*>Label>Verse,*>Label>Verse,*>Label>Verse,*>Label>Verse,*>Label>Verse,*>Label>Verse,*>Label>Verse,1.0,*>Label>Verse,,,,*>Label>Verse,*>Label>Verse,,,,,,,
1i,C#:min,65.215,newline,voice,r,.,1r,.,8.0,.,,,,1r,.,,,,,,,
1-VI,A:maj,67.152,.,voice,B,.,1r,.,4.0,.,,,,1r,.,,,,,,,
1i,C#:min,69.089,.,voice,r,.,1r,.,8.0,.,,,,1r,.,,,,,,,
2-VI,A:maj,71.027,.,voice,E,.,1r,.,4.0,.,,,,1r,.,,,,,,,
2-VII,B:maj,71.995,.,voice,r,.,.,.,2.0,.,,,,.,.,,,,,,,
1i,C#:min,72.964,newline,voice,g#,Peo-,1r,.,8.0,.,,,,1r,.,,,,,,,
2-VI,A:maj,74.898,.,voice,e,trying,1r,.,8.0,.,,,,1r,.,,,,,,,
2-VII,B:maj,75.866,.,voice,B,.,.,.,4.0,.,,,,.,.,,,,,,,
1i,C#:min,76.833,.,voice,a,peo-,1r,.,16.0,.,,,,1r,.,,,,,,,
2-VI,A:maj,78.767,.,voice,c#,_,1r,.,8.0,.,,,,1r,.,,,,,,,
2-VII,B:maj,79.734,.,voice,A,_,.,.,4.0,.,,,,.,.,,,,,,,
*>Letter>A,*>Letter>A,*>Letter>A,*>Letter>A,*>Letter>A,*>Letter>A,*>Letter>A,*>Letter>A,*>Letter>A,1.0,*>Letter>A,,,,*>Letter>A,*>Letter>A,,,,,,,
*>Label>Verse,*>Label>Verse,*>Label>Verse,*>Label>Verse,*>Label>Verse,*>Label>Verse,*>Label>Verse,*>Label>Verse,*>Label>Verse,1.0,*>Label>Verse,,,,*>Label>Verse,*>Label>Verse,,,,,,,
1i,C#:min,80.702,newline,voice,r,.,1r,.,8.0,.,,,,1r,.,,,,,,,
2-VII,B:maj,83.597,.,voice,c#,"hair,",.,.,4.0,E,,,,.,.,,,,,,,
1i,C#:min,84.562,.,voice,r,.,1r,.,16.0,.,,,,1r,.,,,,,,,
2-VI,A:maj,86.493,.,voice,g#,one,1r,.,4.0,.,,,,1r,.,,,,,,,
2-VII,B:maj,87.458,.,voice,c#,there!,.,.,4.0,E,,,,.,.,,,,,,,
1i,C#:min,88.423,newline,voice,r,.,1r,.,8.0,.,,,,1r,.,,,,,,,
